uniqueid,u,v,length,lanes,speed_mph
59040,351120998,56087150,1578.1,1,20
59041,351120998,56178417,38.1,1,20
59042,261736049,53056335,183.6,1,25
59043,261736049,53056333,42.3,1,25
59044,286109403,1656990766,270.7,1,50
59045,286109403,286108367,488.9,2,50
59046,5406306185,3624973574,432.1,1,20
59047,91074463,91098023,5093.1,1,20
59048,4614631330,4614631346,311.3,1,20
59049,4614631346,1827193128,1346.8,1,20
59050,4614631346,57913002,257.6,1,20
59051,4614631346,4614631330,311.3,1,20
59052,85831624,85978589,42.7,1,20
59053,85831624,85703331,1183.6,1,30
59054,85831624,85767326,50.1,1,30
59055,2177740916,355645738,103.6,3,25
59056,2481827969,2018797221,5.4,2,20
59057,2481827969,2018797284,119.1,2,20
59058,2481827970,2481827969,5.7,2,20
59059,2481827971,2481827972,7.0,2,20
59060,2481827971,2481827970,5.7,2,20
59061,2177740935,2177740916,46.6,1,25
59062,2177740935,57827961,1058.6,3,25
59063,2481827972,2481827970,6.2,2,20
59064,2481827972,2018816320,171.1,1,20
59065,2177740975,355645739,32.9,4,25
59066,2177740975,355645740,49.8,1,25
59067,2177741045,1967947962,15.8,2,20
59068,2177741045,355702238,568.2,3,25
59069,4333613310,53090142,26.9,1,25
59070,4333613310,53011953,291.7,1,25
59071,4333613313,53090142,27.1,1,20
59072,4333613313,260908806,52.1,1,20
59073,4333613313,4333613310,39.2,1,20
59074,351121725,2868608632,120.4,1,50
59075,351121725,339258662,1160.8,3,65
59076,2177741146,2177741149,53.6,1,20
59077,2177741146,2177741158,42.7,2,20
59078,2177741146,57867267,359.5,2,20
59079,2177741149,2177741045,1458.7,2,20
59080,2177741158,57835960,11.5,2,20
59081,2177741158,2177741146,42.7,2,20
59082,2177741158,2177741149,37.4,2,20
59083,3982340459,35854693,72.5,2,20
59084,3982340459,65585610,349.2,1,20
59085,5332906372,4169916994,8.2,1,25
59086,5332906372,65515393,92.5,1,25
59087,1833792625,314011958,19.5,3,30
59088,1833792625,1700604367,43.6,3,30
59089,1081488468,1081488619,8.5,3,30
59090,1081488468,1081488737,22.0,2,20
