osmid,x,y,ref,highway,index
65436275,-121.9377216,37.2909891,,,104644
65436279,-122.0086685,37.3598284,,,104645
65436283,-122.0085467,37.3577744,,,104646
65436284,-122.3920635,37.5720691,,,104647
65436285,-122.0085205,37.3570715,,,104648
65436286,-122.0081113,37.356069,,,104649
65436289,-122.0080955,37.355278600000005,,,104650
65436290,-122.4680379,37.6391113,,,104651
65436300,-122.00800320000002,37.3510957,,,104652
65436303,-122.0079898,37.3506446,,,104653
65436323,-121.8322243,37.2716312,,turning_circle,104654
65436326,-121.8317327,37.2701188,,,104655
65436328,-122.4159592,37.6003358,,,104656
65436332,-122.4130182,37.5996045,,,104657
65436336,-122.3775888,37.5784169,,,104658
65436337,-122.3791712,37.5792981,,,104659
65436338,-121.8556563,37.359304,,,104660
65436339,-122.3815125,37.580631200000006,,,104661
65436340,-121.8567048,37.3603125,,turning_circle,104662
65436342,-122.3821734,37.5809985,,,104663
65436344,-121.9926646,37.3612845,,,104664
65436347,-121.9923373,37.3612902,,turning_circle,104665
65436351,-121.8557772,37.3890937,,turning_circle,104666
65436352,-121.8562838,37.389759000000005,,,104667
65436356,-122.3179759,37.54861270000001,,turning_circle,104668
65436361,-122.2205008,37.3845539,,,104669
65436365,-122.2179969,37.3818195,,,104670
65436366,-121.7700095,37.3258542,,,104671
65436368,-122.2159759,37.3837803,,,104672
65436373,-121.766689,37.3246835,,,104673
65436375,-122.4356182,37.6615659,,,104674
65436381,-122.4325987,37.6670197,,,104675
65436383,-122.4326286,37.6678313,,,104676
65436384,-121.7613003,37.3268414,,,104677
65436388,-122.4325203,37.6687681,,,104678
65436391,-121.7571883,37.3285444,,,104679
65436398,-121.7472348,37.3281053,,,104680
65436402,-122.4652282,37.6878925,,,104681
65436405,-122.4631392,37.6878705,,,104682
65436407,-122.4621097,37.6878911,,,104683
65436408,-121.7483263,37.3288643,,,104684
65436410,-122.4615942,37.6880675,,,104685
65436420,-121.7517488,37.3273799,,turning_circle,104686
65436433,-122.2127299,37.3656623,,,104687
65436437,-122.4313289,37.6228875,,,104688
65436438,-122.4333609,37.6229633,,,104689
65436439,-122.4341119,37.62303970000001,,,104690
65436445,-122.3471138,37.570349,,turning_circle,104691
65436449,-122.34752140000002,37.5703096,,,104692
65436457,-122.247465,37.4813687,,,104693
65436459,-122.2434851,37.4781749,,,104694
65436461,-122.242232,37.47716679999999,,,104695
65436468,-121.7617381,37.3287729,,,104696
65436469,-122.4441967,37.7073295,,,104697
65436470,-122.4437522,37.7065361,,,104698
65436471,-122.4433535,37.70580820000001,,,104699
65436475,-121.8120195,37.3469785,,,104700
65436477,-121.8098677,37.3442075,,,104701
65436479,-121.88412920000002,37.2389298,,turning_circle,104702
65436480,-122.4386155,37.6611193,,,104703
65436482,-122.4376428,37.6620061,,,104704
65436484,-122.4370591,37.6625225,,,104705
65436486,-122.4334473,37.6672102,,,104706
65436487,-121.9694853,37.2826347,,,104707
65436489,-122.4334845,37.6680844,,,104708
65436490,-121.9694649,37.28192070000001,,,104709
65436491,-122.4335053,37.669467700000006,,,104710
65436492,-122.4331627,37.6700526,,,104711
65436497,-122.4232977,37.6239216,,,104712
65436498,-121.9553973,37.2264998,,,104713
65436499,-122.4254695,37.6230242,,,104714
65436500,-121.9554461,37.2249037,,,104715
65436504,-122.1931331,37.4360581,,,104716
65436507,-121.8775047,37.2257929,,turning_circle,104717
65436508,-122.2747978,37.4581609,,,104718
65436509,-121.87649740000002,37.2257989,,,104719
65436512,-121.9906549,37.3198152,,,104720
65436514,-121.9906503,37.3192477,,turning_circle,104721
65436526,-122.2677908,37.457013200000006,,,104722
65436527,-122.11623590000002,37.4156291,,,104723
65436528,-122.1153736,37.4150836,,turning_circle,104724
65436544,-122.0063012,37.2932081,,,104725
65436547,-122.00630990000002,37.2926975,,,104726
65436548,-122.5038179,37.595928,,traffic_signals,104727
65436551,-122.501442,37.5941006,,traffic_signals,104728
65436552,-122.0070469,37.28998060000001,,,104729
65436554,-122.0070212,37.2890998,,,104730
65436556,-122.4974152,37.5911504,,traffic_signals,104731
65436557,-122.0082314,37.2876179,,,104732
65436558,-122.0089953,37.2857468,,,104733
65436565,-122.4853976,37.583346,,,104734
65436568,-122.4795172,37.5820831,,,104735
65436571,-122.4764197,37.5806143,,,104736
65436573,-121.9932212,37.1483075,,,104737
65436575,-121.86593159999998,37.3241563,,,104738
65436577,-122.4054197,37.5959245,,,104739
65436578,-121.8654997,37.3243568,,turning_circle,104740
65436581,-121.58583459999998,37.0801763,,,104741
65436584,-121.5840333,37.08078629999999,,,104742
65436588,-122.4046027,37.596070000000005,,,104743
65436589,-122.0261124,37.3249876,,,104744
65436592,-122.026469,37.3249941,,turning_circle,104745
65436595,-122.40273190000002,37.59384420000001,,,104746
65436603,-122.180515,37.4821855,,,104747
65436605,-121.9173607,37.307848,,,104748
65436608,-122.3578278,37.5441764,,,104749
65436611,-122.4317168,37.42866110000001,,,104750
65436613,-122.4312096,37.4286853,,,104751
65436616,-121.9168135,37.3078299,,,104752
65436617,-122.4307356,37.4286974,,,104753
65436619,-121.9165855,37.3078395,,,104754
65436620,-122.4302581,37.4287111,,,104755
65436621,-121.91624109999998,37.3077407,,,104756
65436623,-122.4292177,37.428287700000006,,,104757
65436625,-121.9167962,37.3075353,,,104758
65436627,-122.2377002,37.5450255,,,104759
65436631,-121.9165896,37.3075348,,,104760
65436632,-122.261078,37.438138,,,104761
65436633,-121.917076,37.3075376,,,104762
65436636,-122.4470232,37.6280199,,,104763
65436637,-121.9164568,37.3082817,,,104764
65436638,-122.44735959999998,37.6278547,,turning_circle,104765
65436641,-122.331878,37.57336970000001,,,104766
65436643,-122.0288759,37.3265599,,,104767
65436648,-122.02947,37.3265679,,,104768
65436656,-121.7980938,37.2321054,,,104769
65436658,-122.33263909999998,37.5736766,,,104770
65436661,-121.8047204,37.3421435,,turning_circle,104771
65436663,-121.80602890000002,37.34150089999999,,,104772
65436665,-121.7914593,37.3444449,,,104773
65436668,-121.7906946,37.3440184,,,104774
65436672,-122.0537124,37.4109969,,,104775
65436674,-122.0544634,37.4124456,,,104776
65436675,-122.0547478,37.4130123,,,104777
65436676,-122.0554822,37.4144566,,,104778
65436681,-122.2512239,37.5618174,,,104779
65436683,-121.9811729,37.3284404,,,104780
65436684,-121.9827436,37.3285223,,,104781
65436687,-121.98357620000002,37.32887720000001,,,104782
65436688,-121.9844259,37.328925,,,104783
65436689,-121.9862424,37.329018,,,104784
65436691,-122.2907094,37.541427,,,104785
65436697,-122.42511770000002,37.6417496,,,104786
65436702,-122.4288663,37.637509,,,104787
65436704,-122.429956,37.6372902,,,104788
65436706,-122.4306706,37.6371492,,,104789
65436708,-122.4313852,37.6366771,,,104790
65436709,-122.4328559,37.6357399,,,104791
65436719,-122.3355758,37.54368,,,104792
65436720,-122.0465406,37.374774,,,104793
65436722,-122.0472184,37.3726959,,,104794
65436726,-122.043935,37.269044,,,104795
65436728,-122.0447056,37.2695572,,turning_circle,104796
65436730,-122.4881394,37.6361271,,,104797
65436733,-122.4881387,37.6357713,,,104798
65436734,-122.0415426,37.3667209,,traffic_signals,104799
65436735,-122.488139,37.6354387,,,104800
65436736,-122.0415207,37.3612628,,,104801
65436737,-122.4881145,37.634919200000006,,,104802
65436738,-122.04151170000002,37.35943579999999,,traffic_signals,104803
65436739,-122.4881145,37.63457929999999,,,104804
65436740,-122.0415118,37.3586444,,,104805
65436742,-122.0415121,37.3573322,,,104806
65436744,-122.0415128,37.3543093,,,104807
65436751,-122.0415177,37.3522126,,,104808
65436753,-122.0415163,37.3506622,,,104809
65436756,-122.04151609999998,37.348206700000006,,traffic_signals,104810
65436758,-122.0415194,37.3466555,,,104811
65436760,-122.0415195,37.3448307,,,104812
65436763,-122.04151840000002,37.3422145,,,104813
65436766,-122.04145520000002,37.3375356,,,104814
65436768,-122.23564009999998,37.4906025,,,104815
65436769,-122.2366185,37.4899079,,,104816
65436772,-122.2539648,37.477181,,,104817
65436775,-121.93414140000002,37.4046008,,,104818
65436776,-122.23739109999998,37.4893482,,,104819
