uniqueid,u,v,length,lanes,speed_mph
489,243285770,243284443,534.8,1,55
490,4694491044,53026820,563.7,2,35
491,4694491056,725437230,44.1,2,45
492,4694491056,4694491044,59.7,1,20
493,4694491061,53054258,117.5,1,20
494,4694491061,611620423,28.4,1,20
495,4694491061,4694491060,42.6,1,20
496,4694491060,1017604192,1024.5,2,45
497,311443383,246438004,253.0,2,50
498,311443383,1298973519,656.5,3,65
499,65444827,65455912,217.1,3,30
500,256917697,65389652,133.7,1,50
501,256917697,447913681,83.1,2,35
502,1082915286,1082914953,14.5,1,25
503,1082915286,1082915455,169.2,3,25
504,4750066037,4750066041,106.4,3,25
505,4750066037,65393966,1121.6,1,25
506,4750066040,65445055,315.4,1,20
507,4750066040,338171727,144.1,3,25
508,4750066041,4750066040,108.4,3,25
509,4750066041,65488329,127.5,1,25
510,2367701414,2597771559,33.3,1,30
511,220217924,65426561,20.8,1,20
512,220217924,704784837,251.3,1,20
513,220217924,255655915,384.7,5,40
514,272646754,62381783,9.3,1,20
515,272646754,62381791,217.1,1,20
516,272646754,62456942,582.5,3,40
517,860897912,668462031,114.4,4,45
518,220218003,65383026,25.3,2,50
519,220218003,1106363279,270.4,4,40
520,220218075,220221941,969.6,4,65
521,220218084,255655749,924.3,4,65
522,220218084,255655914,447.7,3,65
523,3886039812,65514293,23.0,1,35
524,3886039812,65602991,2455.8,1,35
525,321930000,56060659,2106.9,1,20
526,321930000,1816389370,488.9,1,20
527,321930000,321931642,13281.8,1,20
528,331367190,1129141037,48.8,1,25
529,331367190,65417076,34.5,2,25
530,2763015017,313114066,15.8,5,45
531,2763015020,2763015018,15.8,2,40
532,2763015020,656597196,138.1,2,50
533,2763015018,2763015017,12.9,3,50
534,2763015018,283228987,57.0,2,40
535,5738873725,57827435,10.6,1,20
536,5738873725,3152797746,715.1,2,20
537,4941956097,3969297820,249.9,2,20
538,4941956097,4941956107,67.1,1,20
539,4941956107,4941956097,67.1,1,20
540,1012942397,1196840150,84.3,1,25
541,1012942397,1196840126,64.1,2,40
542,2532329047,1416584884,1192.5,3,40
543,2532329047,658946144,60.9,1,25
544,1358972503,257878957,15.5,3,25
545,1358972503,344593613,83.5,2,45
546,1358972501,671080999,39.0,3,25
547,1358972501,1358972503,13.4,3,45
548,311445589,246008817,419.5,2,50
549,311445589,65667136,314.9,3,65
550,4594878577,4594878588,5.7,3,25
551,4594878579,4594878582,8.4,3,25
552,4594878579,57866602,143.0,3,45
553,4594878582,4594878585,8.4,3,25
554,4594878585,627287309,20.6,3,25
555,4594878585,4594878577,8.4,3,25
556,4594878588,627287326,35.4,2,20
557,4594878588,4594879593,8.5,3,25
558,1588611232,2890273238,22.8,2,20
559,1588611232,1372758069,423.1,3,45
560,1588611241,1588611232,13.4,3,45
561,1588611241,658941548,1087.1,2,35
562,29378879,29523971,148.3,1,20
563,29378879,29381096,300.3,1,20
564,29378879,29409977,144.5,1,20
565,369936134,1071951268,17.5,3,25
566,369936134,369936746,64.8,3,50
567,369936134,65634717,55.9,1,20
568,3383773556,56020517,14.3,2,30
569,3383773556,3383773558,580.1,2,30
570,3383773556,56020515,67.2,2,20
571,3383773558,56044188,29.2,4,30
572,3383773558,3383773556,580.1,2,30
573,321931642,56145675,10452.7,1,55
574,321931642,56041668,3500.4,1,55
575,321931642,321930000,13281.8,1,20
576,5557566054,57816017,3354.9,1,20
577,5557566054,57818376,1263.3,1,20
578,5557566054,57815980,830.2,1,20
579,204491373,204495228,430.3,1,50
580,204491373,204816201,253.9,3,25
581,5546986165,5355651557,631.1,1,35
582,5546986165,350371609,259.8,2,35
583,448809689,281367796,15.9,3,35
584,448809689,343269909,412.0,2,25
585,448809699,448809689,23.1,3,35
586,448809699,448801432,574.8,3,35
587,3682618161,3682618171,17.1,1,25
588,3682618161,53074424,480.5,1,25
589,3682618162,53074422,51.0,1,25
590,3682618162,53118965,70.8,1,25
591,3682618162,53025172,401.0,1,25
592,3682618171,3682618161,17.1,1,25
593,3682618171,53074422,40.0,1,25
594,3682618171,3682618176,48.9,1,25
595,3682618176,53074422,40.8,1,20
596,3682618176,53118961,224.7,1,20
597,461392857,182404990,169.3,2,50
598,461392857,2299420102,119.2,2,20
599,4594879593,4594878579,14.1,3,25
600,4008725864,57954454,10.7,1,20
601,3729805119,2310525409,290.3,4,45
602,3224391504,356374997,14.7,2,35
603,3224391504,5755351845,983.7,3,35
604,3224391508,3196068349,135.4,2,35
605,3224391508,3224391504,14.8,3,35
606,2559594425,2906019703,102.9,1,25
607,2559594425,53124744,92.2,2,25
608,2559594425,53067245,457.7,2,25
609,2559594483,826985427,923.7,3,25
610,1711296815,2480394580,56.6,3,25
611,1711296815,1712572378,296.5,1,25
612,3729805734,3729805119,32.1,4,45
613,3729805734,3729805119,58.1,1,30
614,29381096,29378879,300.3,1,20
615,29381096,529152017,70.9,1,20
616,29381096,29381137,384.0,1,20
617,29381097,29523973,12.8,1,20
618,29381097,29381103,196.8,2,20
619,29381097,29409977,147.8,1,20
620,29381103,29524011,12.6,1,20
621,29381103,26381624,147.8,1,20
622,29381104,29381105,157.4,1,20
623,29381104,26381624,168.4,1,20
624,29381104,29381145,256.3,1,20
625,29381104,29409977,447.2,1,20
626,29381105,29381104,157.4,1,20
627,29381105,29523969,145.3,1,20
628,29381105,29381146,257.6,1,20
629,29381107,1909328060,140.6,1,20
630,29381107,29381108,214.0,2,20
631,29381108,1706628624,88.0,2,20
632,29381108,65444507,141.3,1,20
633,220221941,26506813,472.9,4,65
634,220221941,65381662,815.8,1,50
635,29381129,529142061,28.8,1,25
636,29381129,29381137,455.4,1,20
637,29381129,29544683,41.5,1,20
638,29381129,29544687,74.3,1,25
639,29381137,29381096,384.0,1,20
640,29381137,29381129,455.4,1,20
641,29381137,1909328060,184.6,1,20
642,29381145,29381146,149.7,1,20
643,29381145,26381623,163.7,1,20
644,29381145,29524002,105.9,1,20
645,29381145,29381104,256.3,1,20
646,29381146,29381145,149.7,1,20
647,29381146,29524009,154.0,1,20
648,29381146,29381105,257.6,1,20
649,29381146,29524003,215.1,1,20
650,1665429459,1665429455,11.3,2,20
651,1665429459,2806973720,543.7,3,32
652,1344295730,1089694340,53.2,2,45
653,1344295730,3971966435,532.8,1,50
654,704664420,65511532,1549.8,4,65
655,157307775,1935652905,179.2,3,65
656,5049963582,5049963585,58.0,1,20
657,5049963582,239482340,1374.7,2,20
658,5049963585,5049963582,43.7,1,20
659,5049963585,5049963582,58.0,1,20
660,5049963585,53092455,820.8,1,20
661,157308015,708160678,123.2,1,25
662,157308015,708160091,74.9,3,35
663,307621345,2315516959,1974.5,1,45
664,307621345,65436548,1542.0,1,50
665,369936746,4707305146,348.9,3,50
666,369936753,4952164552,70.0,1,45
667,369936753,369936148,48.4,5,50
668,2260751754,905972023,18.7,2,20
669,4065351164,65582535,151.1,3,25
670,4065351169,4065351164,46.3,1,25
671,4065351169,65582527,221.8,3,25
672,4065351171,65582535,12.3,2,45
673,4065351171,4065351169,112.1,3,25
674,4065351175,4065351176,12.7,1,25
675,4065351175,4065351181,411.0,3,25
676,4065351176,4065351175,12.7,1,25
677,4065351176,4065351172,332.9,3,25
678,4065351181,1768292374,166.4,3,25
679,4065351181,4065351186,32.2,1,25
680,4065351186,4065351176,439.5,3,25
681,65445949,1071874143,14.0,1,20
682,65445949,1071874028,375.1,2,20
683,207640137,207640173,254.0,1,50
684,207640137,256892784,989.7,4,55
685,5261776459,369888140,416.1,1,50
686,5261776459,1298999088,312.3,5,65
687,207640173,65460110,332.3,2,50
688,207640173,207640216,236.5,1,50
689,348470303,57946720,1167.6,1,35
690,348470303,3221557914,502.4,1,30
691,207640216,207640310,102.0,1,50
692,4065351392,1768291853,370.2,3,25
693,207640310,65356509,137.1,1,50
694,207640310,441802331,208.5,1,50
695,4179646365,369936101,50.7,3,50
696,4179646365,4520217998,66.5,1,45
697,5334128538,65381269,666.1,1,50
698,5334128538,5334144477,432.6,2,55
699,5148530596,3641133462,9.5,1,20
700,5148530596,65427688,234.4,2,20
701,246437952,65615503,140.2,3,25
702,246438004,65395153,553.7,1,50
703,246438004,246574439,913.1,2,50
704,246438140,65500720,182.1,3,35
705,246438180,2901362279,10.9,3,25
706,246438180,1110000979,22.1,1,30
707,246438180,286123490,41.9,1,30
708,246438202,65519292,23.0,1,30
709,246438202,246438180,111.4,3,25
710,246438223,311445589,377.8,3,65
711,204495228,52991608,468.8,2,65
712,3958397386,1676696061,9.6,1,25
713,3958397386,3958397388,140.7,3,25
714,3958397386,53087004,841.7,2,25
715,3958397388,53074960,8.9,1,20
716,3958397388,53087004,964.8,1,20
717,3958397388,2230688682,807.6,4,25
718,3958397394,1683572109,13.2,1,25
719,3958397394,1676696061,617.7,2,25
720,3968883155,4933303158,1713.3,1,20
721,1676696061,3958397386,9.6,1,25
722,1676696061,3958397394,617.7,2,25
723,1080056454,323497482,1874.5,4,60
724,4604320479,293561038,522.9,1,20
725,189815672,189815682,15.8,1,25
726,189815672,1027196136,424.5,3,45
727,189815672,663942598,141.8,1,25
728,189815682,1107767661,40.7,2,25
729,189815682,189815672,15.8,1,25
730,189815682,286887844,218.0,3,45
731,5073034629,905094824,16.1,2,20
732,3224395166,5376890446,11.0,3,35
