osmid,x,y,ref,highway
5334144477,-122.0353337,37.4007247,,
5334144482,-122.0314254,37.4019564,3B,motorway_junction
4021327370,-122.5077713,37.7714983,,traffic_signals
311465661,-121.880719,37.3270541,2A,motorway_junction
1700446291,-121.9213684,37.4110444,,traffic_signals
3367016408,-121.9011836,37.3360248,,traffic_signals
3367016411,-121.9010227,37.3360418,,traffic_signals
3367016412,-121.9011622,37.3359203,,traffic_signals
3367016415,-121.9009959,37.3359437,,traffic_signals
2441123961,-121.9958343,37.3495964,,
2441123967,-121.9958845,37.3505622,,
250649084,-122.2911396,37.5296996,,
250649171,-122.3071999,37.5647209,,
4589656666,-121.932601,37.2376732,,
4589656672,-121.9311746,37.237608,,
315661218,-122.0762958,37.3762807,,
315661241,-122.0763592,37.3761936,,
1710267593,-121.9429917,37.5313965,,
1710267631,-121.9429783,37.531265,,
1710267729,-121.9386531,37.5311716,,
1710267738,-121.9534873,37.5332996,,
1710267837,-121.9428553,37.531362,,
1709219279,-121.8933033,37.3125056,,
1710267880,-121.9532808,37.5332041,,
1710267881,-121.9386542,37.5310381,,
1710267885,-121.9341909,37.5315695,,
3972046331,-122.1136293,37.8953952,13,motorway_junction
311467576,-121.870924,37.3284757,,
348167746,-122.0108412,37.4091022,,
348167866,-122.0112745,37.4091161,,
311467989,-121.8676419,37.3301477,1,motorway_junction
420520173,-122.3975838,37.6052717,,
420520650,-122.4023764,37.6100365,,
1684055051,-122.0951355,37.61027,,
3154158603,-121.9767568,37.3928916,,
1684055114,-122.0827508,37.6298252,,
1684055115,-122.0835347,37.6298664,,
1684055185,-122.0835341,37.6308603,,
1684055209,-122.0794586,37.6314611,,
1684055213,-122.0804729,37.6314849,,
1684055215,-122.0846115,37.631339,,
1684055224,-122.0837338,37.6315354,,
1684055230,-122.0849729,37.6315779,,
1684055233,-122.0839984,37.6315473,,
1684055239,-122.0877419,37.6316788,,
1684055286,-122.0850339,37.6319331,,
5221950757,-122.0126575,37.5338352,,
1684055401,-122.0861241,37.6334284,,
