SAMPN,PERNO,orig,dest
1367190,1,305551657,65460549
1367190,2,305551657,668437479
1367673,2,65312050,260193612
1367693,3,65426616,431693918
1367841,1,65312657,65441639
1367841,2,65312657,65441639
1368133,1,65580838,65583548
1368133,2,65580838,65459883
1368260,1,704784837,1507295335
1368369,1,65462313,65432986
1368586,1,53112145,53074074
1368733,3,53087443,53012596
1368802,1,53079507,4230301910
1368802,2,53079507,53057819
1368976,2,53019895,313250501
1368976,3,53019895,5331240183
1368976,4,53019895,65651251
1369076,1,275782495,53012596
1369404,1,53063239,263328218
1369457,1,5010014322,53149317
1369876,1,809510135,744465732
1370193,1,65286435,260193612
1370193,2,65286435,65295355
1371390,1,53026754,5614516595
1371446,1,65303696,65317060
1371710,2,3950603888,53046715
1371817,1,65497888,65441639
1371817,2,65497888,297163585
1371817,3,65497888,65432017
1371926,2,240297573,2424933569
1372859,2,53019325,52983425
1372859,3,53019325,65312657
1373302,1,65579010,65390960
1373302,2,65579010,310964635
1373310,2,1710790646,65551542
1373310,3,1710790646,65383514
1373425,1,65469461,314014512
1374265,1,65617716,310963309
1374265,5,65617716,1081079565
1374417,1,3449474213,65297593
1374417,2,3449474213,65297593
1374417,3,3449474213,65297593
1374682,2,261419023,65580389
1375234,1,65423728,911844740
1375234,2,65423728,259394878
1375935,1,4454452791,2230688743
1376082,1,53133844,53072400
1376411,1,262257164,5010014322
1376809,1,30674115,65467216
1376809,2,30674115,65572122
1377028,1,239617025,65317060
1378022,1,809510135,541325359
1378212,1,65511253,65466666
1378212,2,65511253,1588863855
1378789,1,65482297,65491633
1378789,2,65482297,65492789
1379388,1,65413795,522277378
1379388,2,65413795,65400186
1379609,1,1082968362,65459883
1379781,1,4021550367,260193612
1380079,1,53047924,65335256
1380079,2,53047924,2804606843
1380172,1,65494883,65286986
1380172,2,65494883,3276773816
1380435,1,65317406,1723739241
1380435,2,65317406,65317060
1381067,1,53024459,1093170907
1381067,2,53024459,1093170907
1381471,2,5845646014,564721352
1381489,2,5750466663,65512165
1381572,1,65488346,65493935
1381572,2,65488346,847440278
1381944,2,65303696,65335256
1382090,1,53035055,53035055
1382297,1,4018939473,206353456
1382297,2,4018939473,65303696
1382320,1,65457991,2424933569
1382320,2,65457991,262911314
1383151,1,65317406,65335256
1383583,1,53062433,30677889
1383839,1,65327079,65335256
1383839,2,65327079,1422395775
1383853,1,53109504,53109504
1383853,3,53109504,53024858
1383853,4,53109504,65290928
1384522,1,65431233,240446447
1384775,2,287238475,65452785
1385415,3,65432238,3994971206
1386726,2,65438518,356618705
1388787,1,65290336,260321647
1389635,1,1511349597,65283764
1389826,1,2749862435,65494863
1389826,2,2749862435,258392730
1389826,3,2749862435,65487419
1390008,1,65352339,65312657
1390386,2,667232563,826985427
1390468,1,1082987298,5376562627
1390468,4,1082987298,65524566
1390468,5,1082987298,247138149
1390543,1,53073843,53012596
1390801,1,53025119,65308300
1390801,2,53025119,2387017025
1390801,3,53025119,53085382
1390945,2,1082968334,1106989992
1391380,1,65420426,65530599
1394103,1,344595687,3394771782
1394103,2,344595687,65580389
1394835,1,826985427,242908939
1395054,1,339569506,65495331
1395084,1,53121919,65473412
1395416,1,4021550367,260193612
1395854,1,65560182,65495331
1396432,2,65440781,577629771
1396562,2,728180246,65438574
1396562,3,728180246,1480825902
1396643,2,30677872,353139733
1396945,1,1083003536,611548392
1396945,2,1083003536,431693918
1397035,1,53131597,260193612
1397035,2,53131597,53024871
1397035,3,53131597,32972213
1397044,1,65443930,65529747
1397044,2,65443930,65573574
1398509,3,65423938,1480825902
1399693,1,53084985,65335256
1399703,1,289834299,65502013
1399703,2,289834299,911844740
1399888,1,65501015,310969385
1400276,1,5010014322,53034383
1400276,2,5010014322,5010014322
1400425,1,53085385,53055616
1400425,2,53085385,5010014322
1400451,1,4021550367,1723739241
1401065,2,2551936826,65308300
1401091,2,1624755431,344378702
1401398,2,65469701,65490623
1401502,2,315728682,344579091
1401507,1,5024738110,65392772
1401507,2,5024738110,564663458
1401545,2,65524423,744465732
1401859,2,65469318,276571756
1402225,1,261215683,53098022
1402225,2,261215683,53036591
1402437,1,65401287,65559370
1403711,1,243673129,5687877080
1403711,2,243673129,53099283
1403747,1,53149317,65317060
1403747,2,53149317,53020933
1404071,1,53099283,275782495
1404254,1,899835535,65303696
