osmid,x,y,ref,highway
26029683,-122.0674461,37.3914603,,motorway_junction
26029745,-122.18417,37.4845361,,
26029760,-122.1134651,37.4013036,,traffic_signals
26029762,-122.1103398,37.4065073,,
26029767,-122.1071801,37.4098727,,
26029772,-122.1040576,37.4144601,,
26029773,-122.1033314,37.4162086,,traffic_signals
26029776,-122.1020237,37.4194371,,traffic_signals
26029880,-122.2847347,37.5412344,414A,motorway_junction
26030097,-122.0370464,37.3691882,,traffic_signals
26030108,-122.0370878,37.3690361,,traffic_signals
26030111,-122.0305272,37.3902341,,
26030124,-122.0277537,37.3992778,,
26031411,-122.0781542,37.4105943,,traffic_signals
26031433,-121.9921189,37.3901447,394,motorway_junction
26031465,-122.0883263,37.3878428,,traffic_signals
26031466,-122.0881841,37.3877757,,traffic_signals
26050434,-122.0808144,37.3973587,,
26050439,-122.0810551,37.3990262,,
26050447,-122.1233837,37.4103695,,traffic_signals
26050456,-122.0953837,37.3918879,,traffic_signals
26066120,-122.1232527,37.4105125,,traffic_signals
26117819,-122.0266246,37.4035236,,traffic_signals
26117820,-122.030742,37.4022489,3A,motorway_junction
26117823,-122.0391316,37.4015381,,
26117833,-122.0136975,37.3752444,,traffic_signals
26240871,-122.0346404,37.3848221,,motorway_junction
26240873,-122.0342107,37.3842464,,
26240920,-122.0781618,37.4155602,,traffic_signals
26250370,-122.013612,37.3688113,,
26270058,-122.0142272,37.3835449,,
26270950,-122.1206457,37.4462529,,
26270951,-122.1197566,37.4454531,,
26374407,-121.9383309,37.3530879,,traffic_signals
26374415,-121.9451537,37.3553117,,
26374416,-121.9518915,37.3526838,,
26374420,-121.9385683,37.3530397,,traffic_signals
26374478,-122.2861917,37.5560492,,
26374541,-122.0690251,37.3918963,,
26381623,-122.0589728,37.419042,,
26381624,-122.0618642,37.4190825,,
26381630,-122.0581826,37.4135772,,
26392420,-121.3849068,36.9885745,,
26404541,-121.9167391,37.4137202,,
26404554,-121.9134783,37.4152252,,
26404564,-121.9012245,37.3675689,,
26404570,-121.9021323,37.3638395,,motorway_junction
26404760,-121.7966294,37.2573585,,
26404800,-121.7178671,37.2065229,373,motorway_junction
26404828,-121.5521052,37.0062085,,traffic_signals
26404847,-121.5516064,36.9610288,,
26409052,-122.0193926,37.3570305,,
26409219,-121.5483038,36.9620719,,
26497302,-121.9847005,37.1452657,,
26497307,-121.9828641,37.1590693,,
26497327,-121.9747724,37.2267448,,motorway_junction
26497329,-121.9616232,37.245702,21,motorway_junction
26497337,-121.9632907,37.2584511,,
26497351,-122.0472589,37.3340488,,
26497360,-122.0142766,37.3282903,,
26497399,-121.9845798,37.1445438,,
26506775,-121.9510007,37.3744614,,
26506784,-122.0089047,37.3770987,,
26506786,-122.012721,37.3785814,,traffic_signals
26506793,-121.9813732,37.3778414,,
26506797,-121.9590346,37.3744227,,
26506805,-122.0186521,37.3329784,,
26506813,-122.0535674,37.3330123,,motorway_junction
26506871,-121.975155,37.2265717,20A,motorway_junction
26507016,-121.9757672,37.1124527,,
26507022,-121.975204,37.104348,,
26507090,-122.1024591,37.4294396,,
26508299,-122.0320699,37.3674844,,traffic_signals
26511895,-122.051373,37.4045432,,traffic_signals
26511899,-122.0503565,37.405174,,
26511906,-122.0364889,37.4017998,,traffic_signals
26511915,-122.0273154,37.4036767,,
26511920,-122.0323666,37.3666743,,
26511937,-121.9769681,37.375421,,
26580976,-122.1074002,37.4099905,,
26581012,-122.0907066,37.4005606,,
26581017,-122.0906526,37.4006916,,
26581088,-122.1020058,37.3957032,,traffic_signals
26630563,-122.0353502,37.3686944,,
26639069,-122.1107663,37.4058127,,traffic_signals
26639070,-122.1109433,37.4058532,,traffic_signals
26639093,-122.0668794,37.3778084,,
26678388,-122.0268283,37.4028287,,traffic_signals
26729676,-121.962633,37.2578982,,motorway_junction
26795963,-122.3916753,37.6097145,,
26819598,-122.3127611,37.9036307,14A,motorway_junction
26850019,-122.1600103,37.4373436,,traffic_signals
26850030,-122.1467337,37.4256567,,traffic_signals
29378879,-122.0657239,37.4190761,,
29381096,-122.0662577,37.4165283,,
29381097,-122.0640877,37.4204096,,
29381103,-122.0618588,37.4204118,,
29381104,-122.0618669,37.4175679,,
29381105,-122.0618583,37.4161525,,
29381107,-122.0621949,37.4125193,,
29381108,-122.0625038,37.4113122,,
29381129,-122.0637597,37.4097651,,
29381137,-122.0639699,37.4137741,,
29381145,-122.0589647,37.41757,,
29381146,-122.0589647,37.4162237,,
29409977,-122.0640877,37.4190804,,
29523969,-122.0618857,37.4148475,,
29523971,-122.0657266,37.4204096,,
29523972,-122.0657266,37.4205225,,
29523973,-122.0640877,37.4205247,,
29523974,-122.0640877,37.4218518,,
29523975,-122.0657293,37.4218496,,
29523988,-122.057452,37.4243291,,
29523994,-122.058026,37.420154,,
29523995,-122.0566366,37.4175082,,
29523996,-122.0554698,37.4178512,,
29523997,-122.0568216,37.4205502,,
29523998,-122.0557032,37.4209124,,
29524002,-122.0577658,37.41757,,
29524003,-122.0575351,37.4172185,,
29524009,-122.0588065,37.4148496,,
29524011,-122.0618588,37.4205247,,
29544683,-122.063875,37.4094029,,
29544687,-122.0645378,37.4095118,,
29891391,-122.027241,37.7008958,39,motorway_junction
29891439,-122.0980391,37.6378577,25B,motorway_junction
29892673,-122.5148738,37.9651091,451B,motorway_junction
29892686,-122.5326429,38.0478479,,
29892713,-122.6263779,38.2460392,,
29892721,-122.7160103,38.4187247,,
29892724,-122.7260181,38.449504,490,motorway_junction
29892729,-122.8059693,38.5433531,,
30029450,-121.7950856,37.700924,51,motorway_junction
30029475,-122.0162134,37.702632,,
30029498,-122.0841181,37.6908633,35,motorway_junction
30029522,-122.1087729,37.6329596,25A,motorway_junction
30033679,-122.3765569,37.5999215,,
30033686,-122.4057648,37.6413413,,
30033753,-122.5167459,37.8822155,,motorway_junction
30033754,-122.5158571,37.8996365,447,motorway_junction
30033763,-122.5167287,37.9367803,450A,motorway_junction
30033768,-122.5121211,37.9635594,451A,motorway_junction
30033776,-122.5421281,38.0099931,455,motorway_junction
30033788,-122.5357608,38.0641319,,
30033863,-122.7604133,38.4990207,494,motorway_junction
30033871,-122.8492568,38.5928535,,
30033883,-122.87631,38.6640406,507,motorway_junction
30033887,-122.8807876,38.6765984,,
30033888,-122.8809287,38.6836768,509,motorway_junction
30033896,-122.9144589,38.7090826,,
30236408,-122.1100008,37.3992551,,traffic_signals
30236412,-122.1064046,37.3976393,,traffic_signals
30236416,-122.1075704,37.4059527,,
30236435,-122.1072907,37.4059861,,
30237141,-122.0699873,37.3342908,,
30237212,-122.0731094,37.3334804,,motorway_junction
30362160,-122.3032181,37.8240326,,motorway_junction
30362888,-122.3030491,37.825844,8A,motorway_junction
30363887,-122.3102678,37.8254299,,
30364111,-122.3029702,37.8235632,,
30364114,-122.3011238,37.8228807,,
30364616,-122.2962734,37.8374909,,
30364622,-122.2970382,37.8412888,,
30365438,-122.3173453,37.8231914,8A,motorway_junction
30365459,-122.3089792,37.8243344,8A,motorway_junction
30365826,-122.3023181,37.8037528,,
30366047,-122.3048971,37.8248016,,
30366199,-122.2813474,37.8280448,,
30366200,-122.2804753,37.8282475,,traffic_signals
30371941,-122.2738387,37.7979555,,
30372583,-122.2794161,37.800805,1A,motorway_junction
30374146,-122.2874967,37.8025338,,
30374151,-122.2797487,37.8002747,,
30674115,-122.1046572,37.3502172,15,motorway_junction
30674118,-122.111281,37.3547824,,
30674121,-122.1123806,37.3548274,,motorway_junction
30674203,-122.1240907,37.3644087,,
30674486,-122.0975655,37.3603209,,
30674506,-122.0693053,37.3282699,,
30674718,-122.1141602,37.3898265,,
30674727,-122.1142608,37.4001192,,
30674763,-122.068843,37.3331181,,
30674923,-122.068687,37.3337197,,
30675681,-122.0982385,37.3610192,,
30675690,-122.0779191,37.3455705,,
30675692,-122.072403,37.3413457,,
30675695,-122.0690904,37.3387182,,
30675699,-122.0680037,37.3361216,,
30675700,-122.0680466,37.3355866,,
30675781,-122.1123382,37.4031627,,traffic_signals
30675835,-122.1080281,37.4084461,,
30675836,-122.1083348,37.4086987,,
30675974,-122.101296,37.4048145,,
30675976,-122.1064676,37.4074362,,
30677839,-122.1566053,37.3883474,,motorway_junction
30677855,-122.1899859,37.4073831,,motorway_junction
30677859,-122.1988935,37.410596,,
30677872,-122.2257959,37.4223253,,
30677889,-122.2553873,37.4439162,27,motorway_junction
30677894,-122.2684123,37.4443083,,
30677950,-122.3390302,37.507432,,
30677951,-122.3429757,37.5099086,,
30882332,-122.0728252,37.2808713,,
30882412,-122.1086744,37.4078002,,motorway_junction
31053120,-122.2695829,37.444413,27,motorway_junction
31053150,-122.2000776,37.4107262,22,motorway_junction
31053250,-122.3308353,37.5017272,,
31053260,-122.3104454,37.4956835,,
31354449,-121.5534921,36.9117829,,
31354455,-121.5509208,36.9611089,353,motorway_junction
31354462,-121.762463,37.2384565,377A,motorway_junction
31354481,-122.3294567,37.5018102,33,motorway_junction
31354485,-122.3330306,37.5099346,,
31416615,-121.5669374,37.0233163,,
31416627,-121.6236566,37.1152357,365,motorway_junction
31416651,-121.8472168,37.255331,5A,motorway_junction
31416653,-121.8776515,37.2552963,,
31416669,-122.3327818,37.5038502,,motorway_junction
31416670,-122.3316037,37.5111389,9A,motorway_junction
31416681,-122.315406,37.5489229,12A,motorway_junction
31421261,-122.051155,37.3268571,18,motorway_junction
32331534,-122.0289961,37.3835083,,
32331540,-122.0331261,37.3844326,,
32331543,-122.010304,37.4028565,,traffic_signals
32331544,-122.0102364,37.4030294,,traffic_signals
32351568,-121.9995614,37.4034622,,traffic_signals
32351578,-122.0109632,37.4087812,,traffic_signals
32351579,-122.01106,37.4085051,,traffic_signals
32351595,-122.01349,37.4060422,,
32351604,-122.078004,37.4135104,,traffic_signals
32774351,-122.1432337,37.4857559,,
32774352,-122.1425406,37.4863769,,traffic_signals
32774378,-122.054594,37.5498905,37,motorway_junction
32784711,-122.0486519,37.5538776,,
32784720,-122.0380498,37.5639732,,
32785488,-122.0390232,37.564172,,
32788810,-122.0352652,37.4008953,,
32789021,-122.0665156,37.3852303,1B,motorway_junction
32790340,-121.9402011,37.4202868,,
