SAMPN,PERNO,origin,destination
1347737,1,62212817,62386632
1347737,3,62212817,696456563
1348446,2,65496660,4962817386
1348467,1,65327903,1782361541
1348699,1,4939636520,56027623
1349071,1,55969219,1129660944
1349071,2,55969219,55955295
1349641,1,65525904,432648995
1349641,2,65525904,65310799
1349876,2,55962211,55951641
1350362,1,53033589,65565191
1350434,1,65523900,65551808
1350548,2,55948942,1948376169
1350548,3,55948942,55958217
1350577,2,65287229,258757433
1350715,2,441573039,65513970
1351613,1,65534286,1708913894
1351654,2,65400684,65427475
1351846,2,53056308,261736301
1351847,1,65662251,65500363
1351847,2,65662251,4583560588
1352094,1,55956120,55949471
1352094,3,55956120,55963462
1352094,4,55956120,4619793542
1352129,1,419999194,368396847
1352129,2,419999194,110419418
1353055,1,56069076,56066634
1353055,2,56069076,316984395
1353181,2,418799784,3960626113
1353242,1,56064324,65315465
1353242,2,56064324,56097529
1353974,1,65473777,65471420
1353974,2,65473777,65471420
1355739,1,1071838859,1723739244
1355772,1,57837336,1677788952
1356459,1,65298510,2315555430
1356775,1,65314163,65311975
1357139,1,53040518,53108960
1358363,1,65582947,1027196023
1358618,1,420454818,57853902
1358652,1,65452395,65402102
1358652,2,65452395,65488327
1358866,1,65317954,65342051
1358970,2,56018815,56130585
1359110,1,65544293,65567147
1359110,2,65544293,65511190
1359347,1,53118596,1594278243
1359429,1,56075406,4593108203
1359429,2,56075406,4393121736
1359429,3,56075406,56026678
1360089,1,57829161,57843995
1360089,2,57829161,65292774
1360436,2,53039974,53095301
1360490,1,53143637,65607275
1360490,2,53143637,2230688755
1360510,1,65664347,65459952
1360575,1,62442259,4061806111
1360575,2,62442259,4904614512
1360905,2,53006562,65671205
1360918,2,65459680,347631051
1360918,3,65459680,3756924095
1361609,1,62381329,62381862
1361771,1,65463281,65424485
1362225,2,53048129,271855192
1362557,1,65324701,65327408
1362557,2,65324701,53069740
1362586,1,53113838,358391108
1363695,1,65433743,4844834672
1363695,2,65433743,430022312
1363788,1,65520902,65450877
1363788,2,65520902,65292745
1363867,1,293511605,65546310
1363867,2,293511605,65612440
1364040,1,2705064530,56093962
1365175,1,65297725,65295289
1365372,1,65481797,65401373
1365391,2,65427731,315026362
1365391,3,65427731,152347320
1365541,1,65372925,57827870
1365818,2,65447504,65483701
1365925,1,62508681,62433761
1365925,2,62508681,57841538
1366787,1,281376169,668462030
1366787,2,281376169,65676278
1366888,1,65308532,1511349597
1366976,2,53030333,242578789
1366976,3,53030333,242578789
1367190,1,65570460,283273746
1367190,2,65570460,668462029
1367673,2,65325497,65308413
1367693,3,65539337,1071375167
1367841,1,65296822,541338644
1367841,2,65296822,541338644
1368133,1,65440270,65566696
1368133,2,65440270,2299911481
1368260,1,65502013,3190827102
1368369,1,65377620,1020769462
1368586,1,53151379,53080887
1368733,3,53083919,53091717
1368802,1,53062842,1698569799
1368802,2,53062842,53128500
1368802,3,53062842,442780765
1368976,2,1853158418,65513990
1368976,3,1853158418,371279470
1368976,4,1853158418,248102521
1369076,1,53066173,53055592
1369404,1,52993437,53106787
1369457,1,246806704,53138900
1369876,1,65393060,191230886
1370191,1,4572608840,53086783
1370191,2,4572608840,1835554900
1370191,4,4572608840,53090227
1370193,1,65363251,65336479
1370193,2,65363251,65336114
1370424,1,57845035,53024492
1370424,2,57845035,57916618
1371390,1,53031586,53064477
1371446,1,65333826,65317045
1371710,2,53040707,419014561
1371817,1,65485022,65423853
1371817,2,65485022,297163808
1371817,3,65485022,3726020329
1371926,2,65435865,65571193
1372859,2,2286039077,53054748
1372859,3,2286039077,65326698
1373302,1,65634474,65497076
1373302,2,65634474,65467606
1373310,2,65663146,26409219
1373310,3,65663146,65397674
1373425,1,65388986,65497613
1373589,1,56068304,411229987
1373731,2,57851033,1806856472
1373731,3,57851033,312137750
1373993,1,1699639618,57870526
1374265,1,65561624,2169669067
1374265,5,65561624,1081079821
1374417,1,53074506,65355425
1374417,2,53074506,65355425
1374417,3,53074506,65355425
1374682,2,65446952,65580390
1374731,2,62383848,53145251
1375234,1,65413259,461443503
1375234,2,65413259,65303747
1375464,1,62411118,260136416
1375464,3,62411118,1367622170
1375935,1,53027185,2230688755
1376082,1,53035742,53082974
1376411,1,53048220,53027386
1376809,1,812704359,65421525
1376809,2,812704359,4936382435
1377028,1,53095440,65306802
1377028,2,53095440,57803359
1377126,1,110408568,110387312
1377126,2,110408568,110407752
1378022,1,65393060,65402958
1378212,1,65491977,65475980
1378212,2,65491977,53063499
1378789,1,65510471,332161462
1378789,2,65510471,65601896
1379388,1,65476417,522277465
1379388,2,65476417,2448231984
1379449,1,53091869,351936403
1379609,1,65678677,65459893
1379781,1,65288866,65295278
1380079,1,53045985,1723738893
1380079,2,53045985,1003276429
1380172,1,65668510,1711296973
1380172,2,65668510,3972090136
1380435,1,65324863,65305819
1380435,2,65324863,65315466
1380679,1,57874638,3968915295
1380696,1,57902812,3219605393
1380696,2,57902812,5075881658
1381067,1,53021380,53073754
1381067,2,53021380,53073754
1381132,2,62217031,62354382
1381132,3,62217031,62354382
1381218,1,62504149,55962189
1381218,2,62504149,5358012848
1381218,3,62504149,62483179
1381373,1,55956204,62467224
1381373,2,55956204,55956393
1381471,2,53045643,956860595
1381489,2,3317802465,65463158
1381572,1,65430092,3756924098
1381572,2,65430092,65481600
1381774,1,57897179,3968915295
1381774,2,57897179,53101563
1381850,1,56065971,110427951
1381944,2,65319949,65313133
1382090,1,53072726,53068181
1382285,2,57855142,2415110370
1382297,1,65325401,662761996
1382297,2,65325401,65319961
1382320,1,65560936,280024088
1382320,2,65560936,65671205
1382656,1,57845984,65550665
1382656,2,57845984,57831587
1382656,3,57845984,1827193029
1383151,1,65312204,1578907668
1383494,1,57934285,2328787845
1383582,2,57832750,53043848
1383583,1,53047179,2266527283
1383839,1,65297662,65329980
1383839,2,65297662,65461851
1383853,1,53021320,256194388
1383853,3,53021320,53090699
1383853,4,53021320,65310195
1384522,1,65514609,65504899
1384775,2,65451849,65541140
1385092,1,366490618,57951186
1385092,3,366490618,3224171582
1385092,5,366490618,3758561141
1385415,3,65436801,2973858341
1386726,2,65483540,2262493319
1388207,1,57869805,65494735
1388207,2,57869805,289289776
1388207,3,57869805,65336938
1388207,4,57869805,57794636
1388495,1,419815931,57826395
1388495,2,419815931,55952066
1388787,1,65302182,65443788
1389002,1,56023107,56168781
1389002,2,56023107,56168781
